fechamedida	valorobservado
2020-01-01	79.72216222527072
2020-01-02	76.72899666704977
2020-01-03	72.0825690577574
2020-01-04	70.85546145729052
2020-01-05	72.26665576273035
2020-01-06	72.05915138930631
2020-01-07	68.71933255116673
2020-01-08	64.76594012605042
2020-01-09	65.42351703612479
2020-01-10	63.271017529513976
2020-01-11	65.32192698888275
2020-01-12	66.85160396350231
2020-01-13	65.98525984782547
2020-01-14	68.14574912422528
2020-01-15	68.27428821500283
2020-01-16	70.0395444479595
2020-01-17	68.78705459964775
2020-01-18	68.5347952715436
2020-01-19	72.44663315208098
2020-01-20	78.18041500127562
2020-01-21	81.03346291638083
2020-01-22	85.0819135480991
2020-01-23	78.31957436122795
2020-01-24	77.2142878556225
2020-01-25	77.13731039526823
2020-01-26	79.03687124904673
2020-01-27	79.4642679437741
2020-01-28	78.22145479265805
2020-01-29	74.98935831431453
2020-01-30	72.7900683756171
2020-01-31	70.38388205876224
2020-02-01	72.32752865681682
2020-02-02	73.77815209443226
2020-02-03	68.59898683426343
2020-02-04	63.435819290068125
2020-02-05	58.50546941642832
2020-02-06	56.9121304079276
2020-02-07	64.59763637358428
2020-02-08	72.37864365646487
2020-02-09	71.73812864403081
2020-02-10	61.49203401790025
2020-02-11	60.631101198194926
2020-02-12	64.14198411081686
2020-02-13	67.19013890626955
2020-02-14	71.71920712583113
2020-02-15	70.20156334231805
2020-02-16	67.79921656102935
2020-02-17	63.337178999945706
2020-02-18	58.822715581426834
2020-02-19	67.45674919151018
2020-02-20	74.09149880505292
2020-02-21	76.65928275572799
2020-02-22	81.52749709886501
2020-02-23	83.22996466827435
2020-02-24	80.74028092683736
2020-02-25	79.65138267877994
2020-02-26	81.68596109772581
2020-02-27	76.8878329226798
2020-02-28	76.40920008005871
2020-02-29	75.25646216132046
2020-03-01	76.98028944330996
2020-03-02	76.93942494077105
2020-03-03	74.22219398559932
2020-03-04	71.98590411864033
2020-03-05	67.24294548297675
2020-03-06	70.69788636124645
2020-03-07	77.2537365580962
2020-03-08	76.72837042211356
2020-03-09	75.66897020505267
2020-03-10	75.3355877492987
2020-03-11	77.55960264900662
2020-03-12	78.61860754086902
2020-03-13	80.15687561535937
2020-03-14	83.43373493975903
2020-03-15	81.81450807391377
2020-03-16	79.60472242249459
2020-03-17	73.50154166345487
2020-03-18	73.5971590695577
2020-03-19	74.23831022250887
2020-03-20	79.73639002196423
2020-03-21	72.62508215100321
2020-03-22	66.69540007730963
2020-03-23	68.24222777275868
2020-03-24	78.24732752159679
2020-03-25	75.81233320084038
2020-03-26	74.0166241025394
2020-03-27	74.00267690875233
2020-03-28	73.00347341501585
2020-03-29	74.96418895040641
2020-03-30	80.09743359582194
2020-03-31	80.38740208877284
2020-04-01	82.40210107647745
2020-04-02	79.23933504461557
2020-04-03	75.47546888039706
2020-04-04	76.0073230268511
2020-04-05	80.18493698739748
2020-04-06	77.154381030509
2020-04-07	77.00137535366237
2020-04-08	76.4891571824054
2020-04-09	78.42554281435946
2020-04-10	78.30063906640734
2020-04-11	82.56350618355391
2020-04-12	81.05813362689474
2020-04-13	76.99983029274502
2020-04-14	81.21968537414966
2020-04-15	79.4157770866605
2020-04-16	77.67715923045436
2020-04-17	77.48720540081659
2020-04-18	81.08740589511292
2020-04-19	77.79367425362105
2020-04-20	75.52187850617086
2020-04-21	78.77619245990418
2020-04-22	80.6960933536276
2020-04-23	78.76673436399055
2020-04-24	79.46525150344497
2020-04-25	75.82345921392
2020-04-26	72.20213369651572
2020-04-27	75.36754843517139
2020-04-28	76.95873730819146
2020-04-29	77.51746999428462
2020-04-30	78.60493684088539
2020-05-01	82.38750598372427
2020-05-02	79.08128370883219
2020-05-03	78.76516084346622
2020-05-04	77.26283987915407
2020-05-05	76.43909587680079
2020-05-06	76.63614234380434
2020-05-07	78.46283757184473
2020-05-08	78.02107837428672
2020-05-09	73.31637670196672
